10/22/16
(9:24:30,123,26,82,30,255,85)
(9:24:35,123,26,82,30,255,54)
(9:24:40,123,26,82,30,255,70)
(9:24:45,123,26,82,30,255,70)
(9:24:50,123,26,82,30,255,74)
(9:24:55,123,26,82,30,255,75)
(9:25:1,123,26,82,29,255,87)
(9:25:6,123,26,82,29,255,76)
(9:25:11,123,26,82,30,255,68)
(9:25:16,123,26,82,30,255,67)
(9:25:21,123,26,82,30,255,65)
(9:25:26,123,26,82,29,255,81)
(9:25:31,123,26,82,29,255,74)
(9:25:36,123,26,82,29,255,28)
(9:25:41,123,26,82,29,255,54)
(9:25:47,123,26,82,129,255,78)
(9:25:52,123,26,82,129,255,97)
(9:25:57,123,26,82,129,255,101)
(9:26:2,123,26,82,29,255,86)
(9:26:7,123,26,82,129,255,80)
(9:26:12,123,26,82,29,254,59)
(9:26:17,123,26,82,29,255,68)
(9:26:23,123,25,82,29,255,57)
(9:26:58,123,25,82,29,255,85)
(9:27:4,123,26,82,29,255,86)
(9:27:9,123,25,82,29,255,85)
(9:27:14,123,25,82,29,255,86)
(9:27:19,123,26,82,29,254,86)
(9:27:24,123,26,82,29,255,86)
(9:27:29,123,25,82,29,254,26)
(9:27:34,123,26,82,29,255,20)
(9:27:39,123,25,82,29,255,36)
(9:27:44,123,25,82,29,255,90)
(9:27:50,123,25,82,29,255,96)
(9:27:55,123,25,82,29,255,114)
(9:28:0,123,25,82,29,255,126)
(9:28:5,123,25,82,29,255,125)
(9:28:10,123,26,82,29,254,125)
(9:28:15,123,26,82,29,255,124)
(9:28:20,123,25,82,29,255,100)
(9:28:25,123,25,82,29,254,105)
(9:28:30,123,25,82,29,255,93)
(9:28:36,123,25,82,29,254,94)
(9:28:46,123,25,82,29,255,44)
(9:28:51,123,25,82,29,255,46)
(9:28:56,123,25,82,29,254,49)
(9:29:1,123,25,82,29,255,105)
(9:29:6,123,25,82,29,255,90)
(9:29:11,123,25,82,29,255,57)
(9:29:16,123,25,82,29,255,10)
(9:29:22,123,25,82,29,255,10)
(9:29:27,123,25,82,29,255,84)
(9:29:32,123,26,82,29,255,83)
(9:29:37,123,25,82,29,254,87)
(9:29:42,123,25,82,29,255,58)
(9:29:47,123,26,82,29,254,69)
